"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Crm Cd","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","LOCATION","LAT","LON"
"230125442","12/2/2023 0:00","12/2/2023 0:00","1600","1","Central","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","69","M","W","800 S  BROADWAY","34.0437","-118.2547"
"230414966","12/2/2023 0:00","12/2/2023 0:00","1700","4","Hollenbeck","624","BATTERY - SIMPLE ASSAULT","26","M","B","600 N  BOYLE                        AV","34.0521","-118.217"
"230221956","12/2/2023 0:00","12/2/2023 0:00","550","2","Rampart","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0","X","X","4600    SANTA MONICA                 BL","34.0909","-118.2893"
"230817634","12/2/2023 0:00","12/2/2023 0:00","1731","8","West LA","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","11800    SANTA MONICA                 BL","34.0428","-118.4582"
"230601156","12/2/2023 0:00","12/2/2023 0:00","1540","6","Hollywood","761","BRANDISH WEAPON","29","M","B","6300    HOLLYWOOD                    BL","34.1034","-118.3325"
"230125445","12/2/2023 0:00","12/1/2023 0:00","2000","1","Central","626","INTIMATE PARTNER - SIMPLE ASSAULT","0","M","H","400 S  HILL                         ST","34.0519","-118.2531"
"230320705","12/2/2023 0:00","11/22/2023 0:00","1340","3","Southwest","662","BUNCO, GRAND THEFT","60","F","H","900 W  41ST                         ST","34.0092","-118.29"
"230320673","12/2/2023 0:00","12/2/2023 0:00","1330","3","Southwest","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","61","M","B","ADAMS                        BL","34.0325","-118.3497"
"230618589","12/2/2023 0:00","12/1/2023 0:00","1800","6","Hollywood","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","34","M","W","5400    CARLTON                      WY","34.1005","-118.3071"
"230221965","12/2/2023 0:00","12/1/2023 0:00","1800","2","Rampart","510","VEHICLE - STOLEN","0","","","600    PARKMAN                      AV","34.0774","-118.2768"
"230221945","12/2/2023 0:00","12/2/2023 0:00","300","2","Rampart","510","VEHICLE - STOLEN","0","","","500 S  CORONADO                     ST","34.0628","-118.2811"
"230717856","12/2/2023 0:00","8/24/2023 0:00","1200","7","Wilshire","662","BUNCO, GRAND THEFT","65","M","W","5700    BURCHARD                     AV","34.0369","-118.3739"
"230320670","12/2/2023 0:00","11/21/2023 0:00","1200","3","Southwest","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0","","","2500    9TH                          AV","34.0344","-118.3272"
"230125448","12/2/2023 0:00","10/3/2023 0:00","1615","1","Central","440","THEFT PLAIN - PETTY ($950 & UNDER)","52","M","B","400 E  5TH                          ST","34.0453","-118.2443"
"230516439","12/2/2023 0:00","12/2/2023 0:00","1440","5","Harbor","626","INTIMATE PARTNER - SIMPLE ASSAULT","34","M","B","500 W  7TH                          ST","33.7365","-118.2923"
"230717906","12/2/2023 0:00","12/2/2023 0:00","1140","7","Wilshire","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","8400    BEVERLY                      BL","34.0761","-118.3732"
"230516418","12/2/2023 0:00","12/2/2023 0:00","600","5","Harbor","510","VEHICLE - STOLEN","0","","","100 N  BEACON                       ST","33.7433","-118.2805"
"230516445","12/2/2023 0:00","12/2/2023 0:00","200","5","Harbor","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","21","F","W","1500    257TH                        ST","33.7905","-118.3028"
"230125419","12/2/2023 0:00","12/2/2023 0:00","300","1","Central","440","THEFT PLAIN - PETTY ($950 & UNDER)","21","M","W","700 W  7TH                          ST","34.0491","-118.2558"
"230125418","12/2/2023 0:00","11/24/2023 0:00","2043","1","Central","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","27","F","W","400 S  HILL                         ST","34.0519","-118.2531"
"230516549","12/2/2023 0:00","12/2/2023 0:00","1","5","Harbor","354","THEFT OF IDENTITY","27","F","W","600 W  12TH                         ST","33.7412","-118.2924"
"230221989","12/2/2023 0:00","12/2/2023 0:00","1910","2","Rampart","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","25","F","B","900 N  HELIOTROPE                   DR","34.088","-118.295"
"230717872","12/2/2023 0:00","12/2/2023 0:00","2100","7","Wilshire","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","52","F","H","SAN VICENTE","34.0496","-118.3425"
"230221932","12/2/2023 0:00","3/8/2023 0:00","1700","2","Rampart","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0","X","X","2300    JAMES M WOOD                 BL","34.0567","-118.2815"
"230221986","12/2/2023 0:00","12/2/2023 0:00","2030","2","Rampart","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","37","M","H","OLYMPIC                      BL","34.0495","-118.2748"
"230817599","12/2/2023 0:00","11/25/2023 0:00","1150","8","West LA","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0","X","X","11300 W  PICO                         BL","34.038","-118.4436"
"230221929","12/2/2023 0:00","10/4/2023 0:00","1345","2","Rampart","440","THEFT PLAIN - PETTY ($950 & UNDER)","26","F","O","700 S  BIXEL                        ST","34.0509","-118.2642"
"230221960","12/2/2023 0:00","11/5/2023 0:00","1305","2","Rampart","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","600 N  DILLON                       ST","34.0786","-118.2788"
"230221980","12/2/2023 0:00","12/2/2023 0:00","1150","2","Rampart","310","BURGLARY","32","M","W","600    PARKMAN                      AV","34.0774","-118.2768"
"230221981","12/2/2023 0:00","12/2/2023 0:00","130","2","Rampart","440","THEFT PLAIN - PETTY ($950 & UNDER)","60","M","W","300 N  MADISON                      AV","34.0763","-118.2892"
"230717831","12/2/2023 0:00","12/2/2023 0:00","200","7","Wilshire","510","VEHICLE - STOLEN","0","","","1600 S  BURNSIDE                     AV","34.0443","-118.3564"
"230125683","12/2/2023 0:00","12/2/2023 0:00","2139","1","Central","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","48","M","H","400 S  SPRING                       ST","34.0488","-118.2483"
"230414967","12/2/2023 0:00","12/2/2023 0:00","1700","4","Hollenbeck","624","BATTERY - SIMPLE ASSAULT","25","M","H","600 N  BOYLE                        AV","34.0521","-118.217"
"230320697","12/2/2023 0:00","12/2/2023 0:00","400","3","Southwest","354","THEFT OF IDENTITY","45","F","B","4200    LEIMERT                      BL","34.0081","-118.3262"
"230717867","12/2/2023 0:00","12/1/2023 0:00","2205","7","Wilshire","761","BRANDISH WEAPON","26","M","B","4700 W  PICO                         BL","34.0486","-118.3383"
"230717864","12/2/2023 0:00","12/2/2023 0:00","700","7","Wilshire","310","BURGLARY","32","F","B","1600    CRENSHAW                     BL","34.0429","-118.3329"
"230516539","12/2/2023 0:00","12/1/2023 0:00","600","5","Harbor","354","THEFT OF IDENTITY","77","F","H","1600 W  220TH                        ST","33.828","-118.3064"
"230601158","12/2/2023 0:00","12/2/2023 0:00","1102","6","Hollywood","210","ROBBERY","0","X","X","5500    HOLLYWOOD                    BL","34.1038","-118.3151"
"230414951","12/2/2023 0:00","12/2/2023 0:00","1810","4","Hollenbeck","210","ROBBERY","0","X","X","3600 E  OLYMPIC                      BL","34.0188","-118.2011"
"230320708","12/2/2023 0:00","12/2/2023 0:00","1400","3","Southwest","626","INTIMATE PARTNER - SIMPLE ASSAULT","54","F","B","4200 W  DON TOMASO                   DR","34.0048","-118.3473"
"230618547","12/2/2023 0:00","12/2/2023 0:00","320","6","Hollywood","624","BATTERY - SIMPLE ASSAULT","29","M","O","5700    HOLLYWOOD                    BL","34.1017","-118.3136"
"230414947","12/2/2023 0:00","11/26/2023 0:00","2300","4","Hollenbeck","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","46","F","W","5400 E  HUNTINGTON DR","34.0932","-118.1615"
"230717897","12/2/2023 0:00","12/2/2023 0:00","601","7","Wilshire","354","THEFT OF IDENTITY","35","F","H","4400 W  WASHINGTON                   BL","34.0398","-118.3354"
"230701072","12/2/2023 0:00","12/2/2023 0:00","1945","7","Wilshire","210","ROBBERY","0","X","X","700 S  LA BREA                      AV","34.0622","-118.344"
"230516502","12/2/2023 0:00","12/1/2023 0:00","100","5","Harbor","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","75","F","H","1200 W  ROBIDOUX                     ST","33.7878","-118.2778"
"230221933","12/2/2023 0:00","10/5/2023 0:00","105","2","Rampart","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","44","F","H","1000    WILSHIRE                     BL","34.0514","-118.2613"
"230817579","12/2/2023 0:00","11/30/2023 0:00","1600","8","West LA","510","VEHICLE - STOLEN","0","","","3300    BAGLEY                       AV","34.0314","-118.396"
"230221942","12/2/2023 0:00","12/2/2023 0:00","430","2","Rampart","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0","X","X","1000 W  SUNSET                       BL","34.064","-118.2478"
"230516742","12/2/2023 0:00","12/2/2023 0:00","1626","5","Harbor","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","X","X","400 W  6TH                          ST","33.7388","-118.2857"
"230817584","12/2/2023 0:00","12/2/2023 0:00","2115","8","West LA","310","BURGLARY","0","M","O","2200 S  BARRINGTON                   AV","34.0342","-118.4478"
"230516471","12/2/2023 0:00","12/1/2023 0:00","2130","5","Harbor","330","BURGLARY FROM VEHICLE","19","M","H","1600    247TH                        ST","33.801","-118.3054"
"230801118","12/2/2023 0:00","12/2/2023 0:00","2000","8","West LA","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0","M","O","10200    SANTA MONICA                 BL","34.0611","-118.4184"
