DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,LAT,LON
231421229,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1830,14,Pacific,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,O,10400    VENICE                       BL,34.0204,-118.4039
230718119,12/04/2023 12:00:00 AM,11/24/2023 12:00:00 AM,2000,07,Wilshire,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),33,M,H,1200 S  LA JOLLA                     AV,34.055,-118.3733
230320771,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1030,03,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,B,3500    CHESAPEAKE                   AV,34.0238,-118.3452
231321573,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1450,13,Newton,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,49,F,H,MAIN                         ST,34.0038,-118.274
231718721,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,2230,17,Devonshire,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),57,M,H,9300    TAMPA                        AV,34.244,-118.5583
230516479,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0100,05,Harbor,510,VEHICLE - STOLEN,0,,,1000 W  18TH                         ST,33.7279,-118.299
230320753,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1610,03,Southwest,624,BATTERY - SIMPLE ASSAULT,36,M,H,1000 W  MARTIN LUTHER KING JR        BL,34.0145,-118.2937
231718731,12/04/2023 12:00:00 AM,11/29/2023 12:00:00 AM,1440,17,Devonshire,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,W,18500    PLUMMER                      ST,34.2427,-118.5361
231421247,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0830,14,Pacific,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,W,4800 S  CENTINELA                    AV,33.9894,-118.4189
230817672,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,0729,08,West LA,310,BURGLARY,0,X,X,12200 W  OLYMPIC                      BL,34.0322,-118.4551
231016768,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1424,10,West Valley,210,ROBBERY,0,M,W,15900    VENTURA                      BL,34.1599,-118.4766
230917062,12/04/2023 12:00:00 AM,11/27/2023 12:00:00 AM,1650,09,Van Nuys,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,14400    MAGNOLIA                     BL,34.1649,-118.4465
231917405,12/04/2023 12:00:00 AM,11/28/2023 12:00:00 AM,0930,19,Mission,946,OTHER MISCELLANEOUS CRIME,37,F,H,10100 N  SEPULVEDA                    BL,34.2536,-118.4674
231917419,12/04/2023 12:00:00 AM,12/02/2023 12:00:00 AM,0800,19,Mission,510,VEHICLE - STOLEN,0,,,BRYSON,34.2278,-118.4213
231116467,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,2230,11,Northeast,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),26,F,B,N  KENMORE                      AV,34.1018,-118.2973
230125529,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0240,01,Central,946,OTHER MISCELLANEOUS CRIME,0,X,X,12TH                         ST,34.0401,-118.2633
231820328,12/04/2023 12:00:00 AM,11/01/2023 12:00:00 AM,0600,18,Southeast,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,CENTURY,33.9456,-118.2695
231224256,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,0820,12,77th Street,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,3900 W  59TH                         ST,33.9871,-118.342
230222052,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1400,02,Rampart,510,VEHICLE - STOLEN,0,,,2400 W  3RD                          ST,34.0647,-118.2761
231421435,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1720,14,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),33,M,H,3200    MOTOR                        AV,34.0306,-118.4111
231016791,12/04/2023 12:00:00 AM,11/24/2023 12:00:00 AM,1830,10,West Valley,210,ROBBERY,38,M,H,BURBANK                      BL,34.1717,-118.4758
231421222,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,2300,14,Pacific,510,VEHICLE - STOLEN,0,,,5800 W  MANCHESTER                   AV,33.9598,-118.3826
231224234,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2000,12,77th Street,510,VEHICLE - STOLEN,0,,,7900 S  SAN PEDRO                    ST,33.9674,-118.2695
231518514,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1415,15,N Hollywood,860,BATTERY WITH SEXUAL CONTACT,60,F,W,13000    VICTORY                      BL,34.1936,-118.4166
231421282,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0915,14,Pacific,625,OTHER ASSAULT,75,F,B,VENICE                       BL,34.0283,-118.3904
231518529,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,1015,15,N Hollywood,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),40,M,W,11600    SHERMAN                      WY,34.2012,-118.3845
230125546,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1405,01,Central,761,BRANDISH WEAPON,53,M,H,600 S  FIGUEROA                     ST,34.0508,-118.2586
230125549,12/04/2023 12:00:00 AM,11/28/2023 12:00:00 AM,1500,01,Central,624,BATTERY - SIMPLE ASSAULT,62,F,B,400 E  7TH                          ST,34.0421,-118.2469
230125579,12/04/2023 12:00:00 AM,11/30/2023 12:00:00 AM,0030,01,Central,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,,900 E  2ND                          ST,34.0472,-118.2342
230718114,12/04/2023 12:00:00 AM,12/03/2023 12:00:00 AM,2249,07,Wilshire,330,BURGLARY FROM VEHICLE,27,F,B,RIDGELEY                     DR,34.0624,-118.3505
231518509,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,1340,15,N Hollywood,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,W,11000    MORRISON                     ST,34.1611,-118.3704
232117292,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0145,21,Topanga,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",68,M,B,7500    JORDAN                       AV,34.2065,-118.6029
231321544,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1000,13,Newton,510,VEHICLE - STOLEN,0,,,4800    MCKINLEY                     AV,33.9998,-118.2609
230415024,12/04/2023 12:00:00 AM,10/04/2023 12:00:00 AM,1625,04,Hollenbeck,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),57,F,H,600 S  EVERGREEN                    AV,34.0343,-118.2065
231224313,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0356,12,77th Street,933,PROWLER,63,F,B,10600 S  ST ANDREWS                   PL,33.94,-118.3113
230125535,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0510,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",54,M,O,900 N  HILL                         ST,34.0644,-118.2387
230125670,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,2045,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,34,F,B,500    CROCKER                      ST,34.0435,-118.2427
231820309,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,0845,18,Southeast,354,THEFT OF IDENTITY,37,F,H,400 W  CENTURY                      BL,33.9456,-118.2804
231820337,12/04/2023 12:00:00 AM,11/29/2023 12:00:00 AM,0430,18,Southeast,510,VEHICLE - STOLEN,0,,,800 W  134TH                        ST,33.9102,-118.2894
231224300,12/04/2023 12:00:00 AM,12/04/2023 12:00:00 AM,0930,12,77th Street,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),84,F,B,9800    LA SALLE                     AV,33.9468,-118.3057
231116465,12/04/2023 12:00:00 AM,12/01/2023 12:00:00 AM,1631,11,Northeast,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),52,M,K,6200    YORK                         BL,34.1155,-118.1843
