crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
230413637,2023-10-21,2023-10-21,621,4,Hollenbeck,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,1100 S  SOTO                         ST,34.0233,-118.2222
230219521,2023-10-21,2023-10-21,1730,2,Rampart,210,ROBBERY,33,M,H,6TH,34.0558,-118.2663
230616800,2023-10-21,2023-10-18,1350,6,Hollywood,901,VIOLATION OF RESTRAINING ORDER,29,F,B,1700 N  HIGHLAND                     AV,34.1016,-118.3387
230219488,2023-10-21,2023-10-21,735,2,Rampart,251,SHOTS FIRED AT INHABITED DWELLING,58,M,A,2300    JAMES M WOOD                 BL,34.0567,-118.2815
230122409,2023-10-21,2023-10-21,1749,1,Central,354,THEFT OF IDENTITY,27,F,W,1200 S  HOPE                         ST,34.0408,-118.2644
230219483,2023-10-21,2023-10-21,440,2,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,F,H,6TH                          ST,34.0575,-118.2702
230514929,2023-10-21,2023-10-20,2000,5,Harbor,510,VEHICLE - STOLEN,0,X,X,220TH,33.8280,-118.3064
230716093,2023-10-21,2023-05-16,1230,7,Wilshire,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",35,F,H,2200    CLYDE                        AV,34.0387,-118.3717
230413603,2023-10-21,2023-10-21,1840,4,Hollenbeck,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,H,MICHIGAN                     AV,34.0442,-118.2063
230318465,2023-10-21,2023-10-21,200,3,Southwest,510,VEHICLE - STOLEN,0,X,X,4100 S  WESTERN                      AV,34.0099,-118.3089
230716047,2023-10-21,2023-10-19,2330,7,Wilshire,626,INTIMATE PARTNER - SIMPLE ASSAULT,44,F,B,1100    HI POINT                     ST,34.0560,-118.3671
230318562,2023-10-21,2023-10-21,1830,3,Southwest,624,BATTERY - SIMPLE ASSAULT,39,F,H,1000 W  38TH                         ST,34.0169,-118.2915
230413585,2023-10-21,2023-10-20,2130,4,Hollenbeck,510,VEHICLE - STOLEN,0,X,X,MICHIGAN,34.0420,-118.2014
230318528,2023-10-21,2023-10-21,1910,3,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,H,ESTRELLA                     AV,34.0332,-118.2759
231319347,2023-10-22,2023-10-22,1220,13,Newton,410,"BURGLARY FROM VEHICLE, ATTEMPTED",50,M,H,400 E  ADAMS                        BL,34.0234,-118.2654
231319408,2023-10-22,2023-10-22,500,13,Newton,330,BURGLARY FROM VEHICLE,19,F,H,2100    MAPLE                        AV,34.0276,-118.2628
231221763,2023-10-22,2023-10-22,1810,12,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,47,F,B,700 W  82ND                         ST,33.9661,-118.2849
231319346,2023-10-22,2023-10-21,1300,13,Newton,510,VEHICLE - STOLEN,22,M,H,400 E  ADAMS                        BL,34.0234,-118.2654
231016019,2023-10-22,2023-10-20,1950,10,West Valley,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,F,O,WHITE OAK                    AV,34.1624,-118.5185
